"common_name","site_id","site_name","cammlr_region","penguin_count_recent","year_recent","penguin_count_recent_prop","IBA_recent","penguin_count_min","year_min","penguin_count_min_prop","IBA_min","count_median","year_nb","count_median_prop","IBA_median","penguin_count_max","year_max","penguin_count_max_prop","IBA_max","bearing","Permissions","coords.x1","coords.x2","auto_bearing_sum_dist","auto_bearing_n_cells","auto_bearing_n_cells_kappa","auto_bearing_sum_dist_kappa"
"EMP","SMTH","Smith","48.5",4018,2009,1.57,"1",4018,2009,1.57,"1",4018,1,1.57,"1",4018,2009,1.57,"1",67,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-1491755.84534845,832689.411015997,109.980863777725,101.285454509135,1.35126465503666,1.16420507758193
"EMP","SMYL","Smyley","88.3",6061,2009,2.36,"1",6061,2009,2.36,"1",6061,1,2.36,"1",6061,2009,2.36,"1",320,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-1901260.2924554,375425.255441159,356.848643153645,348.140057643159,0.464318041260318,0.487293162769058
"EMP","SNOW","Snow Hill Island","48.1",2164,2009,0.84,"0",2164,2009,0.84,"0",2164,1,0.84,"0",2164,2009,0.84,"0",150,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2371017.13190542,1513997.47309085,201.015893491221,170.377369424002,0.324562173730569,0.328944087170406
"EMP","STCB","Stancomb","48.5",5455,2009,2.13,"1",3000,1986,1.17,"1",4228,2,1.65,"1",5455,2009,2.13,"1",3,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-684340.047641394,1605266.7116073,28.7490501587991,16.9416847538329,1.57119231445917,1.32952792016846
"EMP","TAYG","Taylor Glacier","58.4.2",519,2009,0.2,"0",519,2009,0.2,"0",1725,3,0.67,"0",2900,1988,1.13,"1",2,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2167371.60583123,1207334.68587817,15.9081913484434,14.0408967936311,1.61662244411805,1.50015828652659
"EMP","THUR","Thurston Glacier, Mount Siple","88.2",2989,2009,1.17,"1",2989,2009,1.17,"1",2989,1,1.17,"1",2989,2009,1.17,"1",5,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-1467064.8764418,-1051128.81766055,44.8707838972271,34.1356050254116,1.28296623926185,1.25406487697685
"EMP","UMBE","Umbeashi","58.4.2",146,2009,0.06,"0",146,2009,0.06,"0",146,1,0.06,"0",146,2009,0.06,"0",350,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",1646205.74901535,1764721.92660245,332.331380487359,330.894862519067,1.19699886345861,1.0850633118354
"EMP","WASH","Cape Washington","88.1",17096,2012,6.67,"1",6003,2010,2.34,"1",11808,9,4.6,"1",17096,2012,6.67,"1",135,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",423965.239676426,-1624140.90611637,130.350886361354,119.482313460725,0.685279253907117,0.507737475418249
"EMP","BARB","Barrier Bay","58.4.1",1156,2011,0.45,"0",1,2010,0,"0",295,3,0.11,"0",1156,2011,0.45,"0",330,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2581398.24656765,390860.635729918,308.180210847053,315.390093375716,0.51012394185451,0.641516195339882
"EMP","BRCO","Bryan Coast","88.3",1000,2019,0.39,"0",1000,2019,0.39,"0",1000,1,0.39,"0",1000,2019,0.39,"0",2,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-1826538.40190701,148637.620768853,53.4112285429509,46.9484311708332,1.12633489158314,0.905542962531204
"EMP","BUIS","Burton Ice Shelf","58.4.1",1000,2019,0.39,"0",1000,2019,0.39,"0",1000,1,0.39,"0",1000,2019,0.39,"0",350,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2614077.28573147,13895.4098835738,3.70321549419477,359.946997104349,0.250988174770509,0.0763935154152617
"EMP","LAIS","Larsen Ice Shelf","48.5",3000,2019,1.17,"1",3000,2019,1.17,"1",3000,1,1.17,"1",3000,2019,1.17,"1",90,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2296121.55205308,1289910.26704312,73.8104353899937,68.8359819524434,1.25234368962948,1.23298609010426
"EMP","MBOF","Mertz Break Off","58.4.1",3000,2019,1.17,"1",3000,2019,1.17,"1",3000,1,1.17,"1",3000,2019,1.17,"1",15,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",1398654.54645154,-2060651.12011176,78.6171057608214,62.5396807627066,0.983674301567281,0.836685255786018
"EMP","ROTI","Rotschild Island","88.3",1000,2019,0.39,"0",1000,2019,0.39,"0",1000,1,0.39,"0",1000,2019,0.39,"0",320,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2140871.86230653,686149.418695015,342.526582548471,306.327200510581,0.799779401598749,0.611036437538462
"EMP","SACO","Sabrina Coast","58.4.1",1000,2019,0.39,"0",1000,2019,0.39,"0",1000,1,0.39,"0",1000,2019,0.39,"0",350,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2248286.80013546,-1358180.73323143,345.877848456794,347.631715067949,0.140614233026633,0.0414132679209251
"EMP","WEIS","West Ice Shelf","58.4.1",3436,2011,1.34,"1",3436,2011,1.34,"1",3436,1,1.34,"1",3436,2011,1.34,"1",305,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2481530.41915964,351810.274270307,263.833929698663,267.430895692433,2.26431603886763,1.75095193820009
