"colony_name","colony_size","colony_size_min","colony_size_max","latitude","longitude"
"Plato Island (Platter Island)",40803,27902,40803,-54.6742,-63.433
"Pleneau Island",1,1,1,-64.0556,-65.104
"Port Martin",37994,27243,37994,141.3997,-66.8113
"Possession Island",177097,78967,177097,171.1692,-71.8946
"Powell Island",27289,27289,27289,-45.029,-60.725
"Pink Pool Point",1811,1811,1811,-54.079,-61.309
"Proclamation Island",9277,9277,9277,53.6876,-65.8424
"Point Thomas",150,150,17905,-58.4615,-62.1631
"Rauer Islands",115034,103916,115034,77.6765,-68.8331
"Robinson",609,609,5000,63.4596,-67.4543
"Red Island",1002,1002,1002,-57.88,-63.7356
"Rhyolite Island",36,35,36,-68.5709,-69.6488
"Robinson (northwest)",111,111,111,63.413,-67.4489
"Rookery Islands",43989,43989,44800,62.5099,-67.6044
"Robinson (southeast)",800,500,800,63.4956,-67.4749
"Cape Royds",2944,1367,3986,166.1639,-77.5545
"Red Rock Ridge",3554,3554,3554,-67.1686,-68.2878
"Rumpa Island",3515,473,3515,39.3905,-69.1441
"Sabrina Island",4844,3471,4844,163.309,-66.9171
"Saxum Nunatak",150,150,150,-56.0533,-63.1367
"Scullin/Murray",54499,54499,54499,66.6968,-67.7833
"SE Fisher Bay",9,9,9,146.0809,-67.5949
"Sentry Rocks",344,119,344,167.4046,-70.7543
"SE Promontory",890,325,890,163.05,-66.65
"Sheelagh Islands",7587,7587,7587,50.1804,-66.5464
"Shepard Island",28934,28934,28934,-132.5519,-74.3773
"Sheppard Nunatak",1523,1523,1523,-57.0154,-63.3629
"Sheppard Point",3182,3182,3182,-56.9844,-63.3707
"Shingle Cove (Coronation Island)",3041,3041,3205,-45.5636,-60.6469
"Shirley/Beall",13658,12861,13658,110.5,-66.283
"Sigaren",37,13,37,39.4344,-69.1693
"Sims Island",14784,14784,14784,-78.5407,-73.2725
"Smiggers Island",453,453,453,-65.3514,-65.4597
"South of Martin Islands",477,477,495,-65.3381,-65.6881
"Spindrift Rocks",3046,1034,7021,-45.644,-60.683
"Stanton Continental Rock",3227,3227,3227,61.7175,-67.5342
"Steines Island",434,434,1176,76.5825,-69.3412
"Stene Point",0,0,1500,-45.707,-60.654
"Stranger Point",1003,777,18412,-58.6161,-62.26
"Stanton unnamed",801,801,801,61.5978,-67.5078
"Sturge Island",10,10,10,164.633,-67.467
"Sven Foyn Island",44571,19587,44571,171.0695,-71.956
"Svenner Islands",18065,18065,18065,76.8346,-69.0341
"Southwest Island (Aviation Islands)",804,804,804,158.7833,-69.2666
